#-------------------------------------------
# Food Diary Report - Detailed Report,"Monday, June 1, 2020","Tuesday, June 30, 2020"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
"Thursday, June 25, 2020",1831,92.91,36.54,78.7,5.56,12.44,162.79,4526.1,1397.65,1757
 Breakfast,558,24.8,11.533,61.18,4.7,4.89,23.16,1310.6,44.65,453
  Bread,302,3.73,0.813,57.39,2.7,4.89,8.66,772,0,113
   4 oz
  Blue Diamond Almond Breeze Unsweetened Vanilla Milk,60,5,0,2,2,0,2,360,0,340
"   2  x 1 cup, 480 ml"
  Trader Joe's Gruyere Cheese,196,16.07,10.72,1.79,0,0,12.5,178.6,44.65,
   50 g
 Lunch,53,4.62,0.66,1.65,0.66,0.66,2.31,49.5,0,66
  Planters Dry Roasted Peanuts,53,4.62,0.66,1.65,0.66,0.66,2.31,49.5,0,66
"   1/3  x 39 pieces, 9 g"
 Dinner,761,41.52,14.612,12.51,0.2,5.12,79.21,1525,1256,707
  Egg,294,19.88,6.198,1.54,0,1.54,25.16,280,846,268
   4 large
  Butter,36,4.06,2.568,0,0,0,0.04,29,11,1
   1 pat
  Olive Oil,60,6.75,0.932,0,0,0,0,0,0,0
   1/2 tbsp
  Shrimp,266,4.34,0.824,2.29,0,0,50.93,1132,380,325
"   13 oz, with shell raw (yield after cooking, shell removed)"
  Bechamel Sauce,105,6.49,4.09,8.68,0.2,3.58,3.08,84,19,113
   1/3 cup
 Snacks/Other,459,21.97,9.735,3.36,0,1.77,58.11,1641,97,531
  Cheese,175,13.46,8.304,2.36,0,1.77,11.1,478,42,94
   50 g
  Canned Tuna,214,1.51,0.431,0,0,0,47.01,623,55,437
   6 1/2 oz
  Peloponnese Kalamata Olives,45,4.5,0.5,1,,,0,210,0,
"   5 olives, 15 g"
  Great Value Green Olives with Pimento,25,2.5,0.5,0,0,0,0,330,0,
"   5 olives, 15 g"

"Friday, June 26, 2020",1449,45.21,14.329,223.68,16.6,38.77,48.43,1716.6,49.65,1044.5
 Breakfast,140,0,0,33.25,3.5,24.5,1.75,0,0,262.5
  Great Value Pineapple Chunks,140,0,0,33.25,3.5,24.5,1.75,0,0,262.5
"   1 3/4  x 1 cup, 245 g"
 Lunch,,,,,,,,,,
 Dinner,1113,29.14,3.609,188.64,13.1,14.27,34.18,1538,5,782
  Pasta Puttanesca with Linguini,1113,29.14,3.609,188.64,13.1,14.27,34.18,1538,5,782
   2 servings
 Snacks/Other,196,16.07,10.72,1.79,0,0,12.5,178.6,44.65,
  Trader Joe's Gruyere Cheese,196,16.07,10.72,1.79,0,0,12.5,178.6,44.65,
   50 g

"Saturday, June 27, 2020",1718,64.44,25.823,240.65,29.4,60.12,45.56,4162,0,2458
 Breakfast,410,13,2,66.75,9,38,8.75,209,0,792
  Great Value Pineapple Chunks,100,0,0,23.75,2.5,17.5,1.25,0,0,187.5
"   1 1/4  x 1 cup, 175 g"
  Sunsweet Dried Pitted Prunes,150,0,0,36,4.5,19.5,1.5,9,0,424.5
"   1 1/2  x 5 prunes, 60 g"
  Essential Everyday Dry Roasted Peanuts,160,13,2,7,2,1,6,200,0,180
"   1/4 cup, 28 g"
 Lunch,,,,,,,,,,
 Dinner,1308,51.44,23.823,173.9,20.4,22.12,36.81,3953,0,1666
  Brown Rice,215,1.74,0.349,44.42,3.5,0.68,4.99,587,0,84
   1 cup cooked
  Red Curry Lentils with Sweet Potatoes and Spinach,933,36.7,21.474,122.48,14.9,20.44,25.82,3166,0,1402
   2 servings
  Essential Everyday Dry Roasted Peanuts,160,13,2,7,2,1,6,200,0,180
"   1/4 cup, 28 g"
 Snacks/Other,,,,,,,,,,

"Sunday, June 28, 2020",1739,48.01,15.27,230.2,23.5,43.77,100.07,2463,133,1567
 Breakfast,381,15.19,2.544,66.2,7.6,35.22,7.1,116,0,369
  Dried Prune,121,0.19,0.044,32.2,3.6,19.22,1.1,1,0,369
   6 prunes
  Trader Joe's Dried Apricots,100,0,0,25,3,15,1,5,,
"   6 pieces, 40 g"
  Great Value Cashew Halves & Pieces,160,15,2.5,9,1,1,5,110,0,0
"   1/4 cup, 1 oz"
 Lunch,120,10,0,4,4,0,4,640,0,140
  Silk Pure Almond Milk - Unsweetened Original,120,10,0,4,4,0,4,640,0,140
"   4  x 1 cup, 960 ml"
 Dinner,1238,22.82,12.726,160,11.9,8.55,88.97,1707,133,1058
  Tuna,184,1.62,0.4,0,0,0,39.77,63,77,755
   6 oz boneless
  One Pot Pasta with Ricotta and Lemon,1054,21.2,12.326,160,11.9,8.55,49.2,1644,56,303
   1 1/2 servings
 Snacks/Other,,,,,,,,,,

"Monday, June 29, 2020",1437,53.52,23.132,181.26,24.6,73.08,62.87,1290.5,105,4711
 Breakfast,7,0.14,0.014,0.28,0,0,0.85,14,0,334
  Coffee,7,0.14,0.014,0.28,0,0,0.85,14,0,334
   3 mugs (8 fl oz)
 Lunch,120,10,0,4,4,0,4,720,0,640
  Blue Diamond Almond Breeze Unsweetened Vanilla Milk,120,10,0,4,4,0,4,720,0,640
"   4  x 1 cup, 960 ml"
 Dinner,1100,38.23,21.713,136.12,15.7,44.27,52.64,415,101,2916
  Fiery Sweet Potatoes,707,22.94,19.417,116.08,13.8,43.13,10.42,344,24,1608
   2 servings
  Tuna,184,1.62,0.4,0,0,0,39.77,63,77,755
   6 oz boneless
  Red Potatoes (Flesh and Skin),82,0.16,0.029,18.03,1.9,1.13,2.14,7,0,516
   1/4 lb
  Olive Oil,119,13.5,1.864,0,0,0,0,0,0,0
   1 tbsp
  Shallots,7,0.01,0.002,1.68,,,0.25,1,0,33
   1 tbsp chopped
  Cooked Garlic,1,0,0.001,0.33,0,0.01,0.06,0,0,4
   1/2 clove
 Snacks/Other,210,5.15,1.405,40.86,4.9,28.81,5.38,141.5,4,821
  Tea (Brewed),5,0,0.009,1.42,0,0,0,14,0,175
   2 cups (8 fl oz)
  Parmesan Cheese (Shredded),21,1.37,0.868,0.17,0,,1.89,85,4,5
   5 g
  Dried Apricot,84,0.18,0.006,21.92,2.6,18.7,1.19,4,0,407
   10 halves
  Dried Prune,60,0.1,0.022,16.1,1.8,9.61,0.55,1,0,184
   3 prunes
  Planters Dry Roasted Peanuts,40,3.5,0.5,1.25,0.5,0.5,1.75,37.5,0,50
"   1/4  x 39 pieces, 7 g"

"Tuesday, June 30, 2020",1218,80.74,18.911,44.17,6.9,12.17,91.01,2312,1225,940
 Breakfast,180,15.03,2.507,14.37,1.6,4.2,5.18,110,0,61
  Great Value Cashew Halves & Pieces,160,15,2.5,9,1,1,5,110,0,0
"   1/4 cup, 1 oz"
  Dried Prune,20,0.03,0.007,5.37,0.6,3.2,0.18,0,0,61
   1 prune
 Lunch,120,10,0,4,4,0,4,640,0,140
  Silk Pure Almond Milk - Unsweetened Original,120,10,0,4,4,0,4,640,0,140
"   4  x 1 cup, 960 ml"
 Dinner,758,40.71,13.904,16.8,0.3,6.97,76.83,1452,1225,739
  Shrimp,245,4,0.76,2.11,0,0,47.01,1045,351,300
"   12 oz, with shell raw (yield after cooking, shell removed)"
  Trader Joe's Grapeseed Oil,60,7,0.75,0,,,0,0,0,
"   1/2  x 1 tbsp, 7.5 ml"
  Bechamel Sauce,159,9.83,6.196,13.15,0.3,5.43,4.66,127,28,171
   8 tbsps
  Egg,294,19.88,6.198,1.54,0,1.54,25.16,280,846,268
   4 large
 Snacks/Other,160,15,2.5,9,1,1,5,110,0,0
  Great Value Cashew Halves & Pieces,160,15,2.5,9,1,1,5,110,0,0
"   1/4 cup, 1 oz"

Total,49098,1775.3,534.611,5316.84,608.93,1163.78,2040.72,81094.83,5794.01,62918.2
