#-------------------------------------------
# Food Diary Report - Detailed Report,"Monday, June 1, 2020","Tuesday, June 30, 2020"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
"Saturday, June 6, 2020",1579,54.16,12.889,221.16,30.4,44.42,64.09,2516,65,2078
 Breakfast,416,23,,45,6,3,11,745,10,
  Heuvos Rotos,416,23,,45,6,3,11,745,10,
"   1 Serving, 4 Servings/Recipe"
 Lunch,967,24.18,12.181,141.09,20.1,13.67,49.82,1768,55,1654
  One Pot Pasta with Ricotta and Lemon,703,14.13,8.218,106.67,8,5.7,32.8,1096,37,202
   1 serving
  Broccoli,154,1.68,0.177,30.12,11.8,7.71,12.79,150,0,1433
   16 oz
  Cheese Sauce,110,8.37,3.786,4.3,0.3,0.26,4.23,522,18,19
   1/4 cup
 Dinner,,,,,,,,,,
 Snacks/Other,196,6.98,0.708,35.07,4.3,27.75,3.27,3,0,424
"  Grapes (Red or Green, European Type Varieties Such As Thompson Seedless)",114,0.26,0.089,29.86,1.5,25.54,1.19,3,0,315
   165 g
  Blackberries,17,0.2,0.006,3.84,2.1,1.95,0.56,0,0,65
   40 g
  Walnuts,65,6.52,0.613,1.37,0.7,0.26,1.52,0,0,44
   10 g

"Sunday, June 7, 2020",1271,35.93,6.551,84.88,8,18.83,23.37,1233,44,349
 Breakfast,146,7.93,4.551,11.03,0,12.83,7.86,98,24,349
  Whole Milk,146,7.93,4.551,11.03,0,12.83,7.86,98,24,349
   1 cup
 Lunch,516,28,2,55,8,6,15,1135,20,
  Heuvos Rotos,416,23,,45,6,3,11,745,10,
"   1 Serving, 4 Servings/Recipe"
  Seabrook Creamed Spinach,100,5,2,10,2,3,4,390,10,
"   1/2 cup, 125 g"
 Dinner,609,0,,18.85,,,0.51,,,
  Cabernet Sauvignon Wine,609,0,,18.85,,,0.51,,,
   25 fl oz
 Snacks/Other,,,,,,,,,,

"Monday, June 8, 2020",3124,92.12,28.987,203.31,10.1,34.32,65.78,1603,124,1574
 Breakfast,385,25.44,9.23,25.09,0.9,20.67,16.56,233,37,702
  Whole Milk,220,11.9,6.826,16.54,0,19.25,11.79,146,37,523
   1 1/2 cups
  Roasted Salted Cashew Nuts,165,13.54,2.404,8.55,0.9,1.42,4.77,87,0,179
   1 oz (18 kernels)
 Lunch,410,17,5,49,4,3,14,190,45,
"  Pasta and Mushrooms, Homemade, 6 Servings",410,17,5,49,4,3,14,190,45,
   One Serving
 Dinner,2329,49.68,14.757,129.22,5.2,10.65,35.22,1180,42,872
  Chardonnay Wine,1221,0,0,34.41,0,7.1,1.04,37,0,525
   2 bottles
  Regular Beer,319,0,0,26.36,0,0,3.42,30,0,200
   25 fl oz
  Great Value Cashew Halves & Pieces,320,30,5,18,2,2,10,220,0,0
"   2  x 1/4 cup, 2 oz"
  La Tortilla Factory Hand Made Style Yellow Corn Tortillas,90,1,0,14,1,0,5,200,0,
"   1 tortilla, 41 g"
  Flour Tortilla,218,5.42,1.32,35.94,2.2,1.34,5.8,445,0,108
   1 large (approx 10" dia)
  Cheddar Cheese,161,13.26,8.437,0.51,0,0.21,9.96,248,42,39
   40 g
 Snacks/Other,,,,,,,,,,

"Tuesday, June 9, 2020",1644,63.88,19.245,111.04,10.41,18.57,158.53,2578.55,590,2056.4
 Breakfast,,,,,,,,,,
 Lunch,404,17.5,2.624,10.11,4,4,51.01,1045,351,300
  Shrimp,245,4,0.76,2.11,0,0,47.01,1045,351,300
"   12 oz, with shell raw (yield after cooking, shell removed)"
  Dole Green Onion,40,0,0,8,4,4,4,0,0,0
"   4  x 2 medium onions, 120 g"
  Olive Oil,119,13.5,1.864,0,0,0,0,0,0,0
   1 tbsp
 Dinner,791,17.5,4.946,69.73,3,10.03,87.02,734,197,1400
  Tuna,335,2.94,0.728,0,0,0,72.48,115,140,1376
   310 g
  Stop & Shop Miami Onion Rolls,230,4,,42,2,6,8,360,10,
"   1 roll, 99 g"
  Publix Onion Schnecken Roll,190,7,2,27,1,4,6,250,40,
   1 roll
  Sour Cream,36,3.56,2.218,0.73,0,0.03,0.54,9,7,24
   17 g
 Snacks/Other,449,28.88,11.675,31.2,3.41,4.54,20.5,799.55,42,356.4
  Planters Dry Roasted Peanuts,137,12,1.71,4.28,1.71,1.71,6,128.55,0,171.4
   24 g
  Cheddar Cheese,161,13.26,8.437,0.51,0,0.21,9.96,248,42,39
   40 g
  Tomatoes,11,0.12,0.028,2.41,0.7,1.62,0.54,3,0,146
   1/2 medium whole (2-3/5" dia)
  Mission Soft Taco Flour Tortillas (Medium),140,3.5,1.5,24,1,1,4,420,0,
"   1 tortilla, 49 g"

"Wednesday, June 10, 2020",1491,54.82,21.284,204.92,32.9,53.64,59.36,2493,149,2696
 Breakfast,187,0.14,0.014,48.28,1.5,36,2.35,14,0,784
  Great Value Raisins,180,0,0,48,1.5,36,1.5,0,0,450
"   1 1/2  x 1/4 cup, 60 g"
  Coffee,7,0.14,0.014,0.28,0,0,0.85,14,0,334
   3 mugs (8 fl oz)
 Lunch,22,0.34,0.124,7.06,1.9,1.13,0.61,18,0,204
  Lime,20,0.13,0.015,7.06,1.9,1.13,0.47,1,0,68
   1 fruit (2" dia)
  Espresso Coffee,2,0.21,0.109,0,0,0,0.14,17,0,136
   2 espresso cups (2 fl oz)
 Dinner,1094,46.96,18.614,125.42,22.6,14.45,48.69,2058,143,1280
  Jamie Oliver's Black Bean Burgers,472,13.08,1.959,70.65,20.6,6.14,21.75,1185,0,1221
   3 servings
  Publix Onion Schnecken Roll,380,14,4,54,2,8,12,500,80,
   2  x 1 roll
  Cheddar Cheese,242,19.88,12.655,0.77,0,0.31,14.94,373,63,59
   60 g
 Snacks/Other,188,7.38,2.532,24.16,6.9,2.06,7.71,403,6,428
  Jamie Oliver's Black Bean Burgers,157,4.36,0.653,23.55,6.9,2.04,7.25,395,0,407
   1 serving
  Sour Cream,31,3.02,1.879,0.61,0,0.02,0.46,8,6,21
   1 tbsp

"Thursday, June 11, 2020",1726,74.78,21.662,202.89,26.5,17.87,65.51,2269,162,989
 Breakfast,680,32,7,77,7,5,23,850,45,
"  Pasta and Mushrooms, Homemade, 6 Servings",410,17,5,49,4,3,14,190,45,
   One Serving
  America's Choice Dry Roasted Peanuts,160,14,2,5,2,1,7,170,0,
"   1/4 cup, 28 g"
  Rold Gold Classic Style Pretzel Thins,110,1,0,23,1,1,2,490,0,
"   9 pretzels, 28 g"
 Lunch,410,17,5,49,4,3,14,190,45,
"  Pasta and Mushrooms, Homemade, 6 Servings",410,17,5,49,4,3,14,190,45,
   One Serving
 Dinner,636,25.78,9.662,76.89,15.5,9.87,28.51,1229,72,989
  Publix Onion Schnecken Roll,190,7,2,27,1,4,6,250,40,
   1 roll
  Jamie Oliver's Black Bean Burgers,314,8.72,1.306,47.1,13.8,4.09,14.5,790,0,814
   2 servings
  Tomatoes,11,0.12,0.028,2.41,0.7,1.62,0.54,3,0,146
   1/2 medium whole (2-3/5" dia)
  Cheddar Cheese,121,9.94,6.328,0.38,0,0.16,7.47,186,32,29
   30 g
 Snacks/Other,,,,,,,,,,

"Friday, June 12, 2020",1553,30.1,18.688,273.51,33.5,26.61,49.43,2278,0,2386
 Breakfast,7,0.14,0.014,0.28,0,0,0.85,14,0,334
  Coffee,7,0.14,0.014,0.28,0,0,0.85,14,0,334
   3 mugs (8 fl oz)
 Lunch,920,19.59,12.338,158.53,21.3,17.58,29.86,1854,0,1285
  Tikka Chickpea Variation,552,18.79,12.122,79.01,20.2,17.44,22.28,814,0,1185
   1 serving
  White Rice,368,0.8,0.216,79.52,1.1,0.14,7.58,1040,0,100
"   1/2 cup, dry, yields"
 Dinner,626,10.37,6.336,114.7,12.2,9.03,18.72,410,0,767
  Tikka Chickpea Variation,276,9.4,6.061,39.5,10.1,8.72,11.14,407,0,592
   1/2 servings
"  White Rice (Long-Grain, Dry, Enriched, Parboiled)",350,0.97,0.275,75.2,2.1,0.31,7.58,3,0,175
   1/2 cup
 Snacks/Other,,,,,,,,,,

"Saturday, June 13, 2020",2707,95.53,16.193,286.57,19.5,95.23,51.3,6201,244,3078
 Breakfast,7,0.14,0.014,0.28,0,0,0.85,14,0,334
  Coffee,7,0.14,0.014,0.28,0,0,0.85,14,0,334
   3 mugs (8 fl oz)
 Lunch,619,0,0,19.39,0,7.16,0.52,37,0,529
  White Table Wine,619,0,0,19.39,0,7.16,0.52,37,0,529
   750 ml
 Dinner,946,39.93,6.712,128.55,9.2,43.22,22.23,3025,122,1005
