#-------------------------------------------
# Food Diary Report - Detailed Report,"Wednesday, July 1, 2020","Friday, July 31, 2020"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
Total,1706,50.37,219.07,75.06
Breakfast,317,11.04,44.1,12.06
Lunch,350,9.14,49.63,15.31
Dinner,682,21.42,82.02,32.71
Snacks/Other,356,8.77,43.32,14.98

#-------------------------------------------
# Report Details
#-------------------------------------------
Date,Cals ( kcal),Fat( g),Sat( g),Carbs( g),Fiber( g),Sugar( g),Prot( g),Sod( mg),Chol( mg),Potassium( mg)
"   5  x 2 tbsp, 140 g"
  Bread,399,4.94,1.076,75.92,3.6,6.46,11.46,1022,0,150
   150 g
  Whole Milk,146,7.93,4.551,11.03,0,12.83,7.86,98,24,349
   1 cup
  Cheddar Cheese,302,24.86,15.819,0.96,0,0.39,18.68,466,79,74
   75 g
 Snacks/Other,,,,,,,,,,

"Wednesday, July 8, 2020",1690,24.12,5.083,330.87,25.97,107.74,48.55,2101.25,12,1321
 Breakfast,742,16.1,3.275,139.09,15.57,67.83,19.53,272.25,12,779
  365 Organic Steel Cut Oats,300,5,1,54,8,2,10,0,0,40
"   2  x 1/4 cup dry (3/4 cup prepared), 300 g"
  Dole California Whole Pitted Dates,110,0,0,30,3,25,1,0,0,260
"   5-6 dates, 40 g"
  Great Value Raisins,120,0,0,32,1,24,1,0,0,300
"   1/4 cup, 40 g"
  Whole Milk,73,3.96,2.275,5.51,0,6.42,3.93,49,12,174
   1/2 cup
  Honey,32,0,0,8.65,0,8.62,0.03,0,0,5
   1/2 tbsp
  Lantana Yellow Lentil Hummus,107,7.14,,8.93,3.57,1.79,3.57,223.25,0,
   50 g
 Lunch,386,2.43,0.59,75.75,3.3,7.58,15.03,672,0,112
  Bagel,386,2.43,0.59,75.75,3.3,7.58,15.03,672,0,112
   150 g
 Dinner,319,3.95,0.86,60.73,2.9,5.17,9.17,817,0,120
  Bread,319,3.95,0.86,60.73,2.9,5.17,9.17,817,0,120
   120 g
 Snacks/Other,243,1.64,0.358,55.3,4.2,27.16,4.82,340,0,310
  Dole California Whole Pitted Dates,110,0,0,30,3,25,1,0,0,260
"   5-6 dates, 40 g"
  Bread,133,1.64,0.358,25.3,1.2,2.16,3.82,340,0,50
   50 g

"Thursday, July 9, 2020",1591,89.18,26.689,90.52,12.84,47.63,114.49,2818.65,972,1756.2
 Breakfast,510,26.34,4.068,28.41,7.4,1.07,43.2,1526,37,359
  Tuna in Oil (Canned),225,9.31,1.74,0,0,0,33.03,401,20,235
   4 oz
  Olive Oil,119,13.5,1.864,0,0,0,0,0,0,0
   1 tbsp
  Dole Green Onion,10,0,0,2,1,1,1,0,0,0
"   2 medium onions, 30 g"
  Capers,2,0.07,0.02,0.42,0.3,0.04,0.2,255,0,3
   1 tbsp drained
  Vigo Pitted Calamata Olives,18,1.5,0,1,0,0,0,135,0,
"   1/2  x 4 olives, 6.5 g"
  Garlic,4,0.02,0.003,0.99,0.1,0.03,0.19,1,0,12
   1 clove
  Publix Red Bell Pepper,90,0,0,24,6,0,3,0,0,
"   3  x 1 medium pepper, 444 g"
"  Anchovy (Drained Solids In Oil, Canned)",42,1.94,0.441,0,0,0,5.78,734,17,109
   5 anchovies
 Lunch,,,,,,,,,,
 Dinner,654,39.92,15.93,15.72,0.3,6.59,54.93,1034,911,574
  Egg,220,14.91,4.648,1.16,0,1.16,18.87,210,634,201
   3 large
  Butter,51,5.76,3.647,0,0,0,0.06,1,15,2
   1/2 tbsp
  Bechamel Sauce,159,9.83,6.196,13.15,0.3,5.43,4.66,127,28,171
   8 tbsps
  Shrimp,164,2.67,0.507,1.41,0,0,31.34,696,234,200
"   8 oz, with shell raw (yield after cooking, shell removed)"
  Olive Oil,60,6.75,0.932,0,0,0,0,0,0,0
   1/2 tbsp
 Snacks/Other,427,22.92,6.691,46.39,5.14,39.97,16.36,258.65,24,823.2
  Planters Dry Roasted Peanuts,171,14.99,2.14,5.36,2.14,2.14,7.5,160.65,0,214.2
   30 g
  Whole Milk,146,7.93,4.551,11.03,0,12.83,7.86,98,24,349
   1 cup
  Dole California Whole Pitted Dates,110,0,0,30,3,25,1,0,0,260
"   5-6 dates, 40 g"

"Friday, July 10, 2020",1768,64.66,23.051,196.49,15,47.48,102.73,4134,522,1240
 Breakfast,177,13.32,3.565,0.77,0,0.77,12.58,140,423,134
  Egg,147,9.94,3.099,0.77,0,0.77,12.58,140,423,134
   2 large
  Olive Oil,30,3.38,0.466,0,0,0,0,0,0,0
   3/4 tsp
 Lunch,716,26.63,15.663,83.97,5.7,12.63,35.7,2562,79,430
  Bagel,386,2.43,0.59,75.75,3.3,7.58,15.03,672,0,112
   150 g
  Cheddar Cheese,282,23.2,14.764,0.9,0,0.36,17.43,435,74,69
   70 g
  Pickles,12,0.12,0.031,2.68,0.8,2.28,0.4,833,0,75
   1 medium
  Pickled Vegetables,21,0.13,0.028,4.64,1.6,2.41,0.84,172,0,174
   1/2 cup
