#-------------------------------------------
# Food Diary Report - Detailed Report,"Sunday, March 1, 2020","Tuesday, March 31, 2020"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
  Cherry Tomatoes,27,0.3,0.069,5.84,1.8,3.92,1.31,7,0,
   1 cup
  Sugar,33,0,0,8.4,0,8.39,0,0,0,0
   2 tsps
  Olive Oil,119,13.5,1.864,0,0,0,0,0,0,0
   1 tbsp
  Egg,220,14.91,4.648,1.16,0,1.16,18.87,210,634,201
   3 large
 Snacks/Other,181,9.07,0.231,18.45,1.9,0,5.77,84,5,109
  Nabisco Stoned Wheat Thins,60,1.5,0,11,1,0,1,70,0,
"   2 crackers, 14 g"
  Market Pantry Sharp Cheddar Cheese Slice,80,6,,0,0,0,4,,,
   1 slice
  Coleslaw,41,1.57,0.231,7.45,0.9,,0.77,14,5,109
   1/2 cup

"Saturday, March 7, 2020",1362,59.67,21.855,123.59,16.19,20.81,49.75,2031.09,670.4,907
 Breakfast,598,36.97,16.216,40.16,3,10.16,24.91,835,645,301
  Publix Mini Croissant,342,18,9,39,3,9,6,624,0,99
"   3  x 1 croissant, 120 g"
  Egg,220,14.91,4.648,1.16,0,1.16,18.87,210,634,201
   3 large
  Butter,36,4.06,2.568,0,0,0,0.04,1,11,1
"   1 pat (1"" sq, 1/3"" high)"
 Lunch,80,3.27,1.974,7.35,0,8.05,5.24,75,12,330
  Latte Coffee,80,3.27,1.974,7.35,0,8.05,5.24,75,12,330
   1/2 large
 Dinner,546,19.43,3.665,76.08,13.19,2.6,19.6,1121.09,13.4,276
  Whole Wheat Pita Bread,302,2.95,0.465,62.37,8.4,0.93,11.11,603,0,193
   4 oz
  Saputo Crumbled Gorgonzola Cheese,54,4.29,2.68,0.54,0,0.54,3.75,139.36,13.4,
   15 g
  Parsley,5,0.12,0.02,0.95,0.5,0.13,0.45,8,0,83
   1/4 cup
  All Seasons Balsamic Vinaigrette Dressing,35,3.5,0.5,1.5,0,1,0,135,0,
"   1/2  x 2 tbsp, 15 ml"
  Lantana White Bean Hummus,150,8.57,0,10.72,4.29,0,4.29,235.73,0,
   60 g
 Snacks/Other,138,0,0,0,0,0,0,0,0,
  Jameson Irish Whiskey,138,0,0,0,0,0,0,0,0,
"   2  x 1 shot, 2 oz"

"Sunday, March 8, 2020",939,26.47,11.077,70.12,13.6,30.68,21.72,1013,115,
 Breakfast,,,,,,,,,,
 Lunch,450,26,11,32,7,2,21,1010,115,
"  Dunkin' Donuts Sausage, Egg & Cheese on English Muffin",450,26,11,32,7,2,21,1010,115,
   1 sandwich
 Dinner,144,0.47,0.077,38.12,6.6,28.68,0.72,3,0,
  Granny Smith Apples,144,0.47,0.077,38.12,6.6,28.68,0.72,3,0,
   2 medium (2-3/4" dia)
 Snacks/Other,345,0,0,0,0,0,0,0,0,
  Jameson Irish Whiskey,345,0,0,0,0,0,0,0,0,
"   5  x 1 shot, 5 oz"

"Monday, March 9, 2020",2361,61.4,25.639,215.46,12.35,47.39,75.89,2662.75,74,1633
 Breakfast,135,5.51,3.322,12.36,0,13.55,8.81,126,20,555
  Latte Coffee,135,5.51,3.322,12.36,0,13.55,8.81,126,20,555
   1 medium
 Lunch,95,3.5,1,9,2.75,2.25,7.25,296.75,0,
  Shrimp and White Beans with Fennel and Pancetta,95,3.5,1,9,2.75,2.25,7.25,296.75,0,
"   1/4  x 1 Serving, 4 Servings/Recipe"
 Dinner,862,34,11,77.17,4,12,27.48,1102,10,146
  Burger King Impossible Whopper,630,34,11,58,4,12,25,1080,10,
"   1 sandwich, 291 g"
  Beer,232,0,0,19.17,0,0,2.48,22,0,146
   1 1/2 cans or bottles (12 fl oz)
 Snacks/Other,1269,18.39,10.317,116.93,5.6,19.59,32.35,1138,44,932
  White Table Wine,586,0,0,18.35,0,6.77,0.49,35,0,501
   24 fl oz
  Bagel,475,3,0.727,93.42,4.1,9.34,18.54,829,0,139
   185 g
  Tomatoes,22,0.25,0.057,4.82,1.5,3.23,1.08,6,0,292
   123 g
  Monterey Jack Cheese,186,15.14,9.533,0.34,0,0.25,12.24,268,44,
   50 g

"Tuesday, March 10, 2020",1226,29.12,1.828,80.38,8,7.98,24.24,1110,222,238
 Breakfast,,,,,,,,,,
 Lunch,490,27.97,1.55,45.38,6,3.38,17.29,815,222,67
  Heuvos Rotos,416,23,,45,6,3,11,745,10,
"   1 Serving, 4 Servings/Recipe"
  Egg,74,4.97,1.55,0.38,0,0.38,6.29,70,212,67
   1 large
 Dinner,176,1.15,0.278,34.78,2,4.6,6.95,293,0,167
  Bagel,167,1.05,0.255,32.82,1.4,3.28,6.51,291,0,49
   65 g
  Tomatoes,9,0.1,0.023,1.96,0.6,1.32,0.44,2,0,118
   50 g
 Snacks/Other,560,0,0,0.22,0,0,0,2,0,4
  Whiskey,560,0,0,0.22,0,0,0,2,0,4
   8 fl oz (no ice)

"Wednesday, March 11, 2020",1639,75.59,40.373,181.4,21.6,6.81,59.47,2876.5,656,324
 Breakfast,,,,,,,,,,
 Lunch,562,24.72,10.198,54.19,2.3,6.47,29.47,681,656,282
  Egg,220,14.91,4.648,1.16,0,1.16,18.87,210,634,201
   3 large
  Bagel,270,1.7,0.413,53.02,2.3,5.3,10.52,470,0,79
   1 regular
  Butter,72,8.11,5.137,0.01,0,0.01,0.08,1,22,2
"   2 pats (1"" sq, 1/3"" high)"
 Dinner,1077,50.87,30.175,127.21,19.3,0.34,30,2195.5,0,42
