#-------------------------------------------
# Food Diary Report - Detailed Report,"Sunday, March 1, 2020","Tuesday, March 31, 2020"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
 Lunch,790,24.16,4.897,53.62,2.7,11.14,83.42,719,153,1937
  Salmon,497,20.17,4.287,0,0,0,73.55,156,153,1439
   12 oz boneless
  Meatless Spaghetti with Tomato Sauce,293,3.99,0.61,53.62,2.7,11.14,9.87,563,0,498
   1 cup
 Dinner,1171,15.97,2.441,214.47,10.9,44.54,39.48,2252,0,1994
  Meatless Spaghetti with Tomato Sauce,1171,15.97,2.441,214.47,10.9,44.54,39.48,2252,0,1994
   4 cups
 Snacks/Other,,,,,,,,,,

"Sunday, March 29, 2020",1446,71.67,37.621,122.13,5.2,14.03,76.32,2022,992,557
 Breakfast,,,,,,,,,,
 Lunch,1058,63.79,33.459,55.97,2.3,7.41,63.13,1434,977,457
  Egg,294,19.88,6.198,1.54,0,1.54,25.16,280,846,268
   4 large
  Bagel,270,1.7,0.413,53.02,2.3,5.3,10.52,470,0,79
   1 regular
  Cheddar Cheese,443,36.45,23.201,1.41,0,0.57,27.39,683,116,108
   110 g
  Butter,51,5.76,3.647,0,0,0,0.06,1,15,2
   1/2 tbsp
 Dinner,,,,,,,,,,
 Snacks/Other,388,7.88,4.162,66.16,2.9,6.62,13.19,588,15,100
  Bagel,337,2.12,0.515,66.16,2.9,6.62,13.13,587,0,98
   1 large
  Butter,51,5.76,3.647,0,0,0,0.06,1,15,2
   1/2 tbsp

"Monday, March 30, 2020",1277,52.8,16.323,137.68,14.4,7.05,59.92,2522,217,824
 Breakfast,,,,,,,,,,
 Lunch,591,22.37,3.679,61.68,7.1,1.91,33.85,1233,165,462
  Hummus,218,10.57,1.381,24.75,4.9,0.57,5.98,298,0,213
   1/2 cup
  Shrimp,115,1.88,0.357,0.99,0,0,22.07,490,165,141
   16 medium (shelled)
  Olive Oil,40,4.5,0.621,0,0,0,0,0,0,0
   1 tsp
  Flour Tortilla,218,5.42,1.32,35.94,2.2,1.34,5.8,445,0,108
   1 large (approx 10" dia)
 Dinner,218,10.57,1.381,24.75,4.9,0.57,5.98,298,0,213
  Hummus,218,10.57,1.381,24.75,4.9,0.57,5.98,298,0,213
   1/2 cup
 Snacks/Other,468,19.86,11.263,51.25,2.4,4.57,20.09,991,52,149
  Bread,266,3.29,0.717,50.61,2.4,4.31,7.64,681,0,100
   100 g
  Cheddar Cheese,202,16.57,10.546,0.64,0,0.26,12.45,310,52,49
   50 g

"Tuesday, March 31, 2020",1363,25.78,4.053,237.81,42,16.04,48.09,2100,15,1752
 Breakfast,,,,,,,,,,
 Lunch,436,8.26,1.351,76.27,13,5.18,15.03,645,5,534
"  Brown Rice (Long-Grain, Cooked)",216,1.76,0.351,44.77,3.5,0.68,5.03,10,0,84
   1 cup
  Great Value Garbanzo Beans,165,3,0,27,9,1.5,9,495,0,450
"   1 1/2  x 1/2 cup, 195 g"
  Asian Passage Tikka Masala Curry Sauce,55,3.5,1,4.5,0.5,3,1,140,5,
"   1/2  x 1 cup, 53 g"
 Dinner,927,17.52,2.702,161.54,29,10.86,33.06,1455,10,1218
"  Brown Rice (Long-Grain, Cooked)",216,1.76,0.351,44.77,3.5,0.68,5.03,10,0,84
   1 cup
  Great Value Garbanzo Beans,220,4,0,36,12,2,12,660,0,600
"   2  x 1/2 cup, 260 g"
  Asian Passage Tikka Masala Curry Sauce,55,3.5,1,4.5,0.5,3,1,140,5,
"   1/2  x 1 cup, 53 g"
"  Brown Rice (Long-Grain, Cooked)",216,1.76,0.351,44.77,3.5,0.68,5.03,10,0,84
   1 cup
  Great Value Garbanzo Beans,165,3,0,27,9,1.5,9,495,0,450
"   1 1/2  x 1/2 cup, 195 g"
  Asian Passage Tikka Masala Curry Sauce,55,3.5,1,4.5,0.5,3,1,140,5,
"   1/2  x 1 cup, 53 g"
 Snacks/Other,,,,,,,,,,

Total,39647,1119.1,398.048,3873.25,349.62,590.7,1413.19,50802.89,6870.16,29020.45
