date,calories,fat,saturated,carbohydrate,fiber,sugar,protein,sodium,cholesterol,potassium
"Monday, March 16, 2020",1670,5.8,0.886,148.13,4,20.72,21.46,904,0,2045
"Tuesday, March 17, 2020",545,21.16,12.231,74.91,9.5,0,14.25,762,0,111
"Wednesday, March 18, 2020",1442,43.47,19.737,127.36,5.4,3.08,81.2,2101,731,714
"Thursday, March 19, 2020",992,7.56,3.423,87.07,2.7,3.56,12.46,632,11,755
"Friday, March 20, 2020",1520,12.1,2.455,183.98,12.7,34.57,34.35,2433,6,1103
"Saturday, March 21, 2020",761,9.68,1.853,107.7,8.6,31.66,23.95,2073,6,484
"Sunday, March 22, 2020",1264,65.84,25.516,63.74,6.97,20.57,74.62,2321.1,336,222.8
"Monday, March 23, 2020",1726,14.71,3.72,222.54,15.7,15.03,40.19,1209,59,2804
"Tuesday, March 24, 2020",1421,64.22,36.131,133.84,8.6,3.24,74.29,2604,291,359
"Wednesday, March 25, 2020",1414,1.87,0.175,143.63,8.8,59.54,11,760,0,42
"Thursday, March 26, 2020",1150,49.31,18.805,143.45,11.5,11,35.6,2438,68,679
"Friday, March 27, 2020",1220,49.36,19.869,101.3,7.95,20.14,92.91,1696.6,605.4,754
"Saturday, March 28, 2020",1961,40.13,7.338,268.09,13.6,55.68,122.9,2971,153,3931
"Sunday, March 29, 2020",1446,71.67,37.621,122.13,5.2,14.03,76.32,2022,992,557
"Monday, March 30, 2020",1277,52.8,16.323,137.68,14.4,7.05,59.92,2522,217,824
"Tuesday, March 31, 2020",1363,25.78,4.053,237.81,42,16.04,48.09,2100,15,1752
"Wednesday, April 1, 2020",1290,58.41,20.925,156.12,14.6,12.45,37.5,2293,74,929
"Thursday, April 2, 2020",1577,82.79,22.469,169.07,13.67,29.3,48.28,2471,66,1702
"Friday, April 3, 2020",1405,55.81,15.602,174.44,33.9,8.92,53.53,2928,439,1048
"Saturday, April 4, 2020",1070,48.5,8.866,135.87,20,29.03,29.65,5638,0,2378
"Sunday, April 5, 2020",1829,72.17,25.28,176.88,17.5,24.09,122.79,3328.6,249.15,1635
"Monday, April 6, 2020",1072,46.01,12.562,130.35,11.2,15.85,35.38,2313.5,243,1465.5
"Tuesday, April 7, 2020",1499,73.88,30.216,139.65,8.77,14.09,68.63,1972.4,942,824.2
"Wednesday, April 8, 2020",1733,46.66,12.554,268.67,16.7,52.14,61,3461,32,2569
"Thursday, April 9, 2020",1333,86.25,16.311,107.6,12.5,17.95,42.24,723,846,3400
