#-------------------------------------------
# Food Diary Report - Detailed Report,"Wednesday, April 1, 2020","Thursday, April 30, 2020"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
  Great Value Cod Fillet,135,0.75,0.75,0,0,0,28.5,90,67.5,
"   1 1/2  x 4 oz, 169.5 g"
  Broccoli,96,1.05,0.111,18.82,7.4,4.82,7.99,94,0,896
   10 oz
  Cheese Sauce,219,16.75,7.573,8.61,0.6,0.53,8.45,1043,37,38
   1/2 cup
 Dinner,240,8.75,0.932,0,0,0,40,130,100,0
  Publix Cod Loins,180,2,,0,0,0,40,130,100,
"   2  x 1 serving, 6 oz"
  Olive Oil,60,6.75,0.932,0,0,0,0,0,0,0
   1/2 tbsp
 Snacks/Other,627,32.9,13.841,60.95,3.3,5.73,24.91,946.6,44.65,279
  Roasted Salted Cashew Nuts,165,13.54,2.404,8.55,0.9,1.42,4.77,87,0,179
   1 oz (18 kernels)
  Bread,266,3.29,0.717,50.61,2.4,4.31,7.64,681,0,100
   100 g
  Trader Joe's Gruyere Cheese,196,16.07,10.72,1.79,0,0,12.5,178.6,44.65,
   50 g

"Monday, April 6, 2020",1072,46.01,12.562,130.35,11.2,15.85,35.38,2313.5,243,1465.5
 Breakfast,5,0.09,0.009,0,0,0,0.57,9,0,232
  Coffee (Brewed From Grounds),5,0.09,0.009,0,0,0,0.57,9,0,232
   2 cups (8 fl oz)
 Lunch,314,18.75,3.476,28.18,3.1,5.17,9.25,617,212,743
  Olive Oil,119,13.5,1.864,0,0,0,0,0,0,0
   1 tbsp
  Del Monte Whole New Potatoes,90,0,0,21,1.5,1.5,1.5,540,0,360
"   1 1/2  x 2 medium potatoes, 237 g"
  Tomatoes,22,0.25,0.057,4.82,1.5,3.23,1.08,6,0,292
   1 medium whole (2-3/5" dia)
  Garlic,9,0.03,0.005,1.98,0.1,0.06,0.38,1,0,24
   2 cloves
  Egg,74,4.97,1.55,0.38,0,0.38,6.29,70,212,67
   1 large
 Dinner,349,7.64,2.968,56.79,5.2,3.97,12.35,1008,9,124
  Bread,245,3.03,0.66,46.56,2.2,3.97,7.03,627,0,92
   92 g
  Rosarita Refried Beans,60,1.25,0.5,9,3,0,3,270,0,
"   1/2  x 1/2 cup, 64 g"
  Cheese Sauce (From Recipe),44,3.36,1.808,1.23,0,,2.32,111,9,32
   1 1/2 tbsps
 Snacks/Other,404,19.53,6.109,45.38,2.9,6.71,13.21,679.5,22,366.5
  Mayonnaise,57,4.91,0.72,3.51,0,0.94,0.13,105,4,1
   1 tbsp
  Bread,170,2.11,0.459,32.39,1.5,2.76,4.89,436,0,64
   64 g
  Swiss Cheese,76,5.56,3.556,1.08,0,0.26,5.39,38,18,15
   20 g
  Giant Eagle Cherry Tomatoes,15,0,,3.5,1,2,0.5,4.5,,201.5
   1/2  x 10 tomatoes
  Dry Roasted Cashew Nuts,86,6.95,1.374,4.9,0.4,0.75,2.3,96,0,85
   15 g

"Tuesday, April 7, 2020",1499,73.88,30.216,139.65,8.77,14.09,68.63,1972.4,942,824.2
 Breakfast,,,,,,,,,,
 Lunch,573,27.21,15.942,55.97,3,6.42,25.62,809,75,152
  Bread,266,3.29,0.717,50.61,2.4,4.31,7.64,681,0,100
   100 g
  Swiss Cheese,247,18.07,11.556,3.5,0,0.86,17.5,125,60,50
   65 g
  Butter,51,5.76,3.647,0,0,0,0.06,1,15,2
   1/2 tbsp
  Grape Tomatoes,9,0.09,0.022,1.86,0.6,1.25,0.42,2,0,
   6 grape
 Dinner,926,46.67,14.274,83.68,5.77,7.67,43.01,1163.4,867,672.2
  Cheese Sauce (From Recipe),30,2.24,1.205,0.82,0,,1.55,74,6,21
   1 tbsp
  Bread,266,3.29,0.717,50.61,2.4,4.31,7.64,681,0,100
   100 g
  Egg,294,19.88,6.198,1.54,0,1.54,25.16,280,846,268
   4 large
  Butter,51,5.76,3.647,0,0,0,0.06,1,15,2
   1/2 tbsp
"  Brown Rice (Medium-Grain, Cooked)",112,0.83,0.165,23.51,1.8,,2.32,1,0,79
   100 g
  Planters Dry Roasted Peanuts,86,7.5,1.07,2.68,1.07,1.07,3.75,80.4,0,107.2
   15 g
  Roasted Salted Cashew Nuts,87,7.17,1.272,4.52,0.5,0.75,2.53,46,0,95
   15 g
 Snacks/Other,,,,,,,,,,

"Wednesday, April 8, 2020",1733,46.66,12.554,268.67,16.7,52.14,61,3461,32,2569
 Breakfast,,,,,,,,,,
 Lunch,,,,,,,,,,
 Dinner,1309,24.51,6.292,224.27,14.2,47.46,46.83,2777,18,2299
  Meatless Spaghetti with Tomato Sauce,1171,15.97,2.441,214.47,10.9,44.54,39.48,2252,0,1994
   4 cups
  Asparagus,28,0.17,0.065,5.5,3,2.66,3.12,3,0,286
   5 oz
  Cheese Sauce,110,8.37,3.786,4.3,0.3,0.26,4.23,522,18,19
   1/4 cup
 Snacks/Other,424,22.15,6.262,44.4,2.5,4.68,14.17,684,14,270
  Bread,170,2.11,0.459,32.39,1.5,2.76,4.89,436,0,64
   64 g
  Swiss Cheese,57,4.17,2.667,0.81,0,0.2,4.04,29,14,12
   15 g
  Dry Roasted Cashew Nuts,197,15.87,3.136,11.2,1,1.72,5.24,219,0,194
   1/4 cup

"Thursday, April 9, 2020",1333,86.25,16.311,107.6,12.5,17.95,42.24,723,846,3400
 Breakfast,5,0.09,0.009,0,0,0,0.57,9,0,232
  Coffee (Brewed From Grounds),5,0.09,0.009,0,0,0,0.57,9,0,232
   2 cups (8 fl oz)
 Lunch,845,46.93,8.273,85.96,9.6,8.59,22.48,200,423,2723
  Red Potatoes (Flesh and Skin),327,0.64,0.118,72.12,7.7,4.54,8.57,27,0,2064
   1 lb
  Olive Oil,318,35.99,4.97,0,0,0,0,1,0,0
   2.666 tbsps
  Mature Onions,29,0.06,0.018,7.08,1,3,0.64,2,0,101
   1 small
  Garlic,9,0.03,0.005,1.98,0.1,0.06,0.38,1,0,24
   2 cloves
  Paprika,6,0.27,0.044,1.17,0.8,0.22,0.31,1,0,49
   1 tsp
  Tea (Brewed),9,0,0.019,2.84,0,0,0,28,0,351
   4 cups (8 fl oz)
  Egg,147,9.94,3.099,0.77,0,0.77,12.58,140,423,134
   2 large
 Dinner,323,24.23,5.529,12.64,1.9,8.36,14.19,404,423,445
  Tomatoes,22,0.25,0.057,4.82,1.5,3.23,1.08,6,0,292
   1 medium whole (2-3/5" dia)
  Peanut Oil,119,13.5,2.282,0,0,0,0,0,0,
   1 tbsp
  Egg,147,9.94,3.099,0.77,0,0.77,12.58,140,423,134
   2 large
  Hoisin Sauce,35,0.54,0.091,7.05,0.4,4.36,0.53,258,0,19
   1 tbsp
 Snacks/Other,160,15,2.5,9,1,1,5,110,0,0
  Great Value Cashew Halves & Pieces,160,15,2.5,9,1,1,5,110,0,0
"   1/4 cup, 1 oz"

"Friday, April 10, 2020",1064,60.09,11.51,63.48,5.5,3.68,64.82,1778.5,449,628
 Breakfast,,,,,,,,,,
