#-------------------------------------------
# Food Diary Report - Detailed Report,"Wednesday, April 1, 2020","Thursday, April 30, 2020"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
  Lantana Yellow Lentil Hummus,96,6.43,,8.04,3.21,1.61,3.21,200.88,0,
   45 g
 Dinner,1381,32.99,16.997,190.61,13.2,11.93,75.82,2197.49,131.65,457
  Penne,880,5.18,0.98,171.79,10,3.12,32.29,1303,0,
"   7 oz, dry, yields"
  Parmesan Cheese (Grated),122,8.11,4.905,1.15,0,0.26,10.9,433,25,35
   1 oz
  Breakstone's Ricotta Cheese,192,13.97,8.73,3.49,0,3.49,12.22,113.49,43.65,0
   110 g
  Green Peas (Frozen),55,0.27,0.048,9.87,3,3.87,3.75,81,0,107
   1/2 cup
  Baked or Broiled Fish,95,2.58,0.51,0.25,0,0.06,16.45,267,55,256
   75 g
  Butter,25,2.88,1.824,0,0,0,0.03,0,8,1
   1/4 tbsp
  Lemon Juice,12,0,0,4.06,0.2,1.13,0.18,0,0,58
   1 lemon yields
 Snacks/Other,,,,,,,,,,

"Tuesday, April 21, 2020",1194,46.02,4.962,130.9,12.32,12.5,66.81,2179.74,270.38,333.09
 Breakfast,180,16,,6,4,1,7,100,0,
  Clover Valley Dry Roasted Almonds,180,16,,6,4,1,7,100,0,
"   1/4 cup, 30 g"
 Lunch,211,11.31,2.592,20.1,2.09,2.17,7.81,305.76,10,131.09
  Bread,88,1.09,0.237,16.7,0.8,1.42,2.52,225,0,33
   33 g
  Swiss Cheese,38,2.78,1.778,0.54,0,0.13,2.69,19,9,8
   10 g
  Mayonnaise,12,1,0.147,0.72,0,0.19,0.03,21,1,0
   3 g
  Kirkland Signature Dry Roasted Almonds,73,6.44,0.43,2.14,1.29,0.43,2.57,40.76,0,90.09
   12 g
 Dinner,803,18.71,2.37,104.8,6.23,9.33,52,1773.98,260.38,202
  Lantana Yellow Lentil Hummus,43,2.86,,3.57,1.43,0.71,1.43,89.25,0,
   20 g
  Bread,532,6.58,1.434,101.22,4.8,8.62,15.28,1362,0,200
   200 g
  Olive Oil,60,6.75,0.932,0,0,0,0,0,0,0
   1/2 tbsp
  Shrimp,1,0.02,0.004,0.01,0,0,0.28,6,2,2
   1 g
  Gulf Shrimp Raw Peeled & Deveined Shrimp,167,2.5,0,0,0,0,35.01,316.73,258.38,
   140 g
 Snacks/Other,,,,,,,,,,

"Wednesday, April 22, 2020",1662,108.2,21.328,123.73,14.2,13.46,52.31,977,1069,2663
 Breakfast,,,,,,,,,,
 Lunch,427,23.35,4.126,44.36,5.9,3.47,11.46,86,212,1099
  Potato (with or Without Peel),175,0.2,0.059,39.62,5,1.77,4.58,14,0,955
   8 oz
  Olive Oil,159,18,2.485,0,0,0,0,0,0,0
   1.333 tbsps
  Onions,12,0.02,0.007,2.78,0.4,1.18,0.25,1,0,40
   1/4 medium (2-1/2" dia)
  Garlic,4,0.02,0.003,0.99,0.1,0.03,0.19,1,0,12
   1 clove
  Egg,74,4.97,1.55,0.38,0,0.38,6.29,70,212,67
   1 large
  Paprika,3,0.14,0.022,0.59,0.4,0.11,0.15,0,0,25
   1/2 tsp
 Dinner,1088,74.91,14.103,78.6,8.3,9.22,28.27,751,434,1430
  Publix Romaine Hearts,20,0.5,0,3,1,2,1,0,0,140
"   6 leaves, 85 g"
  Egg,74,4.97,1.55,0.38,0,0.38,6.29,70,212,67
   1 large
  Lemon Juice,12,0,0,4.06,0.2,1.13,0.18,0,0,58
   1 lemon yields
  Olive Oil,358,40.5,5.592,0,0,0,0,1,0,0
   3 tbsps
  Bread,138,1.71,0.373,26.32,1.2,2.24,3.97,354,0,52
   2 regular slices
  Egg,74,4.97,1.55,0.38,0,0.38,6.29,70,212,67
   1 large
  Potato (with or Without Peel),175,0.2,0.059,39.62,5,1.77,4.58,14,0,955
   8 oz
  Paprika,3,0.14,0.022,0.59,0.4,0.11,0.15,0,0,25
   1/2 tsp
  Olive Oil,159,18,2.485,0,0,0,0,0,0,0
   1.333 tbsps
  Garlic,4,0.02,0.003,0.99,0.1,0.03,0.19,1,0,12
   1 clove
  Onions,12,0.02,0.007,2.78,0.4,1.18,0.25,1,0,40
   1/4 medium (2-1/2" dia)
  Parmesan Cheese (Shredded),59,3.88,2.462,0.48,0,,5.37,240,10,14
   1/2 oz
 Snacks/Other,147,9.94,3.099,0.77,0,0.77,12.58,140,423,134
  Egg,147,9.94,3.099,0.77,0,0.77,12.58,140,423,134
   2 large

"Thursday, April 23, 2020",1288,71.18,12.829,100.42,10.8,15.95,65.69,1241,103,1633
 Breakfast,7,0.14,0.014,0.28,0,0,0.85,14,0,334
  Coffee,7,0.14,0.014,0.28,0,0,0.85,14,0,334
   3 mugs (8 fl oz)
 Lunch,,,,,,,,,,
 Dinner,931,41.04,10.315,85.14,5.8,13.95,52.84,987,103,1299
  Flour Tortilla,437,10.85,2.64,71.89,4.3,2.69,11.61,890,0,217
   2 large (approx 10" dia)
  Olive Oil,119,13.5,1.864,0,0,0,0,0,0,0
   1 tbsp
  Salmon,269,10.93,2.322,0,0,0,39.84,85,83,779
   6 1/2 oz boneless
  Tomatoes,22,0.25,0.057,4.82,1.5,3.23,1.08,6,0,292
   1 medium whole (2-3/5" dia)
  Vinegar,3,0,0,0.01,0,0.01,0,0,0,0
   1 tbsp
  Great Value Pure Cane Sugar,30,0,0,8,0,8,0,0,0,
   2  x 1 tsp
  Heavy Cream,51,5.51,3.432,0.42,0,0.02,0.31,6,20,11
   1 tbsp
 Snacks/Other,350,30,2.5,15,5,2,12,240,0,
  Clover Valley Dry Roasted Almonds,180,16,,6,4,1,7,100,0,
"   1/4 cup, 30 g"
  Walgreens Cashews,170,14,2.5,9,1,1,5,140,0,
"   1/4 cup, 30 g"

"Friday, April 24, 2020",1883,79.3,18.145,242.79,14.49,20.61,55.8,2294,47.5,939
 Breakfast,217,15.2,2.529,16.01,3.2,7.41,7.22,99,0,647
  Dried Prune,40,0.06,0.015,10.73,1.2,6.41,0.37,0,0,123
   2 prunes
  Great Value Mixed Nuts,170,15,2.5,5,2,1,6,85,0,190
"   1/4 cup, 1 oz"
  Coffee,7,0.14,0.014,0.28,0,0,0.85,14,0,334
   3 mugs (8 fl oz)
 Lunch,393,12.06,6.002,61.45,2.9,5.18,9.25,825,22,210
  Bread,319,3.95,0.86,60.73,2.9,5.17,9.17,817,0,120
   120 g
  Butter,72,8.11,5.137,0.01,0,0.01,0.08,1,22,2
"   2 pats (1"" sq, 1/3"" high)"
  Tea (Brewed),2,0,0.005,0.71,0,0,0,7,0,88
   1 cup (8 fl oz)
 Dinner,845,34.53,6.355,109.92,5.58,5.29,26.01,918,16,53
  Olive Oil,239,27,3.728,0,0,0,0,1,0,0
   2 tbsps
  Capers,1,0.05,0.013,0.28,0.2,0.02,0.14,171,0,2
   2/3 tbsp drained
  Brunswick Anchovies - Flat Fillets in Olive Oil,12,0.75,0,0,0,0,1.5,490,5,
"   1/2  x 4 pieces, 7.5 g"
  Garlic,13,0.04,0.008,2.98,0.2,0.09,0.57,2,0,36
   3 cloves
  Mueller's Spaghetti Pasta,518,2.59,0,106.15,5.18,5.18,18.12,0,0,
   145 g
  Parmesan Cheese (Shredded),62,4.1,2.606,0.51,0,,5.68,254,11,15
   15 g
 Snacks/Other,428,17.51,3.259,55.41,2.81,2.73,13.32,452,9.5,29
  Olive Oil,119,13.5,1.864,0,0,0,0,0,0,0
   1 tbsp
  Capers,1,0.02,0.007,0.14,0.1,0.01,0.07,84,0,1
   1/3 tbsp drained
  Brunswick Anchovies - Flat Fillets in Olive Oil,6,0.38,0,0,0,0,0.75,245,2.5,
"   1/4  x 4 pieces, 4 g"
  Garlic,7,0.02,0.004,1.49,0.1,0.04,0.29,1,0,18
   1 1/2 cloves
  Mueller's Spaghetti Pasta,261,1.3,0,53.46,2.61,2.61,9.13,0,0,
   73 g
  Parmesan Cheese (Grated),34,2.29,1.384,0.32,0,0.07,3.08,122,7,10
   8 g

"Saturday, April 25, 2020",1527,53.08,15.688,213.49,14,14.29,48.18,1711,206.5,705
 Breakfast,,,,,,,,,,
 Lunch,635,12.47,5.062,107.36,5,9.31,21.43,1468,18,225
  Bread,559,6.91,1.506,106.28,5,9.05,16.04,1430,0,210
   210 g
  Swiss Cheese,76,5.56,3.556,1.08,0,0.26,5.39,38,18,15
   20 g
 Dinner,892,40.61,10.626,106.13,9,4.98,26.75,243,188.5,480
  Bionaturae Pappardelle,525,5,1.25,100,7.5,2.5,17.5,50,162.5,
"   2 1/2  x 2 oz, 142.5 g"
  Parmesan Cheese (Grated),52,3.43,2.076,0.49,0,0.11,4.62,183,11,15
   0.12 cup
  Garlic,4,0.02,0.003,0.99,0.1,0.03,0.19,1,0,12
   1 clove
  Butter,51,5.76,3.647,0,0,0,0.06,1,15,2
   1/2 tbsp
  Olive Oil,229,25.92,3.579,0,0,0,0,1,0,0
   0.12 cup
  Mushrooms,31,0.48,0.071,4.65,1.4,2.34,4.38,7,0,451
   5 oz
 Snacks/Other,,,,,,,,,,

"Sunday, April 26, 2020",1093,49.48,11.482,126.47,13.7,15.61,40.45,1941.45,35,1192.94
 Breakfast,7,0.14,0.014,0.28,0,0,0.85,14,0,334
  Coffee,7,0.14,0.014,0.28,0,0,0.85,14,0,334
   3 mugs (8 fl oz)
 Lunch,352,9.01,0.717,57.75,5.26,5.74,10.5,859.62,0,100
  Lantana Yellow Lentil Hummus,86,5.72,,7.14,2.86,1.43,2.86,178.62,0,
   40 g
  Bread,266,3.29,0.717,50.61,2.4,4.31,7.64,681,0,100
   100 g
 Dinner,362,8.59,3.824,58.37,4,7.85,12.97,874,14,398
  Butter,18,2.03,1.284,0,0,0,0.02,0,5,1
"   1/2 pat (1"" sq, 1/3"" high)"
  Tomatoes,22,0.25,0.057,4.82,1.5,3.23,1.08,6,0,292
   1 medium whole (2-3/5" dia)
  Bread,279,3.45,0.753,53.14,2.5,4.53,8.02,715,0,105
   105 g
  Grated Romano Cheese,43,2.86,1.73,0.41,0,0.09,3.85,153,9,
   10 g
 Snacks/Other,372,31.74,6.927,10.07,4.44,2.02,16.13,193.83,21,360.94
  Dry Roasted Unsalted Peanuts,170,14.4,1.999,6.24,2.3,1.21,6.87,2,0,191
   29 g
  Kirkland Signature Dry Roasted Almonds,121,10.71,0.71,3.57,2.14,0.71,4.28,67.83,0,149.94
   20 g
  Cheddar Cheese,81,6.63,4.218,0.26,0,0.1,4.98,124,21,20
   20 g

"Monday, April 27, 2020",1463,64.54,28.455,160.64,11.3,22.25,59.35,2167.55,234.96,2026
 Breakfast,,,,,,,,,,
 Lunch,7,0.14,0.014,0.28,0,0,0.85,14,0,334
  Coffee,7,0.14,0.014,0.28,0,0,0.85,14,0,334
   3 mugs (8 fl oz)
 Dinner,1206,43.93,17.071,155.81,11.3,19.98,47.13,1983,144,1692
  Bread,532,6.58,1.434,101.22,4.8,8.62,15.28,1362,0,200
   200 g
  Red Potatoes (Flesh and Skin),82,0.16,0.029,18.03,1.9,1.13,2.14,7,0,516
   4 oz
  Cod,291,14.96,3.061,11.38,0.7,1.13,26.5,553,79,571
   6 oz boneless (yield after cooking)
  Butter,68,7.72,4.887,0.01,0,0.01,0.08,1,20,2
   2/3 tbsp
  Albertsons Heavy Whipping Cream,135,13.5,7.5,3,0,3,0,15,45,
"   3  x 1 tbsp, 45 ml"
  Carrots,20,0.12,0.018,4.62,1.4,2.19,0.45,33,0,154
   2/3 large (7-1/4" to 8-1/2" long)
  Onions,15,0.03,0.009,3.67,0.5,1.55,0.33,1,0,52
   1/3 medium (2-1/2" dia)
  Corn,63,0.86,0.133,13.88,2,2.35,2.35,11,0,197
   1 small ear (5-1/2" to 6-1/2" long)
 Snacks/Other,250,20.47,11.37,4.55,0,2.27,11.37,170.55,90.96,
  Sorrento Whole Milk Ricotta Cheese,250,20.47,11.37,4.55,0,2.27,11.37,170.55,90.96,
   141 g

"Tuesday, April 28, 2020",1735,58.65,11.363,265.32,34.84,41.33,45.7,3511.38,19,1470
 Breakfast,311,8.97,4.435,44.54,2.1,3.84,11.98,718,19,439
  Bread,231,2.86,0.624,44.03,2.1,3.75,6.65,592,0,87
   87 g
  Coffee,7,0.14,0.014,0.28,0,0,0.85,14,0,334
   3 mugs (8 fl oz)
  Cheddar Cheese,73,5.97,3.797,0.23,0,0.09,4.48,112,19,18
   18 g
 Lunch,147,4.23,0.039,28.06,6.3,15.34,2.86,126,0,148
  Publix Red Bell Pepper,15,0,0,4,1,0,0.5,0,0,
"   1/2  x 1 medium pepper, 74 g"
  Lantana Yellow Lentil Hummus,60,4,,5,2,1,2,125,0,
"   2 tbsp, 28 g"
  Apples,72,0.23,0.039,19.06,3.3,14.34,0.36,1,0,148
   1 medium (2-3/4" dia) (approx 3 per lb)
 Dinner,1137,41.85,6.602,169.62,24.3,19.86,26.66,2324,0,843
  Essential Everyday Dry Roasted Peanuts,160,13,2,7,2,1,6,200,0,180
"   1/4 cup, 28 g"
  Jasmine Rice,441,0.8,0.217,96.52,1.6,0.14,8.61,6,0,
   2/3 cup dry
  Peanut Oil,119,13.5,2.282,0,0,0,0,0,0,
   1 tbsp
  Orchids Sesame Oil,130,14,2,0,0,0,0,0,0,0
"   1 tbsp, 15 ml"
  Kikkoman  Soy Sauce,20,0,0,2,0,0,4,1840,0,
"   2  x 1 tbsp, 30 ml"
  Kitchen Basics Natural Vegetable Cooking Stock,10,0,,2,0,1,0,120,0,40
"   1/2  x 1 cup, 120 ml"
  Bob's Red Mill Potato Starch,40,0,0,10,7,0,0,0,0,
"   1 tbsp, 12 g"
  Carrots,50,0.29,0.045,11.69,3.4,5.54,1.13,84,0,390
   2 medium
  Celery,11,0.14,0.034,2.38,1.3,1.46,0.55,64,0,208
   2 stalks medium (7-1/2" - 8" long)
  Food Lion Yellow Onions,60,0,0,14,3,9,2,5,0,
"   1 medium onion, 148 g"
  Publix Red Bell Pepper,60,0,0,16,4,0,2,0,0,
"   2  x 1 medium pepper, 296 g"
  Dole Green Onion,15,0,0,3,1.5,1.5,1.5,0,0,0
"   1 1/2  x 2 medium onions, 45 g"
  Minced Garlic,16,0.08,0.012,3.96,0.4,0.12,0.76,4,0,
   3 tsps
  Ginger,5,0.04,0.012,1.07,0.1,0.1,0.11,1,0,25
   3 tsps
 Snacks/Other,140,3.6,0.287,23.1,2.14,2.29,4.2,343.38,0,40
  Lantana Yellow Lentil Hummus,34,2.28,,2.86,1.14,0.57,1.14,71.38,0,
   16 g
  Bread,106,1.32,0.287,20.24,1,1.72,3.06,272,0,40
   40 g

"Wednesday, April 29, 2020",1820,98.98,33.042,163.97,12.2,20.4,70.91,1456,128,1635
 Breakfast,200,5.28,2.539,30.5,1.4,2.64,7.07,471,10,70
  Bread,160,1.97,0.43,30.37,1.4,2.59,4.58,409,0,60
   60 g
  Cheddar Cheese,40,3.31,2.109,0.13,0,0.05,2.49,62,10,10
   10 g
 Lunch,,,,,,,,,,
 Dinner,1382,74.66,23.448,127.88,8.8,17.03,50.76,864,75,1476
  Tomato Paste,13,0.08,0.016,3.03,0.7,1.67,0.69,16,0,162
   1 tbsp
  Red Tomatoes (Canned),34,0.26,0.036,7.76,1.8,5.08,1.59,254,0,373
   7 oz
  Mozzarella Cheese,257,17.04,10.776,3.26,0,0.51,22.08,449,46,81
   3 slices (1 oz)
  Olive Oil,179,20.25,2.796,0,0,0,0,0,0,0
   1 1/2 tbsps
  Food Lion Yellow Onions,60,0,0,14,3,9,2,5,0,
"   1 medium onion, 148 g"
  Garlic,13,0.04,0.008,2.98,0.2,0.09,0.57,2,0,36
   3 cloves
  Ricotta Cheese (Whole Milk),49,3.68,2.352,0.86,0,0.08,3.19,24,14,30
   1 oz
  Pillsbury Bread Flour,454,0,,90.84,0,0,16.52,0,0,
   128 g
  Olive Oil,239,27,3.728,0,0,0,0,1,0,0
   2 tbsps
  Spinach,33,0.55,0.089,5.15,3.1,0.6,4.06,112,0,792
   1/2 package (10 oz)
  Butter,51,5.76,3.647,0,0,0,0.06,1,15,2
   1/2 tbsp
 Snacks/Other,238,19.04,7.055,5.59,2,0.73,13.08,121,43,89
  Clover Valley Dry Roasted Almonds,90,8,,3,2,0.5,3.5,50,0,
"   1/2  x 1/4 cup, 15 g"
  Ricotta Cheese (Whole Milk),148,11.04,7.055,2.59,0,0.23,9.58,71,43,89
   3 oz

"Thursday, April 30, 2020",882,47.65,11.97,91.56,8.9,7,24.47,1249,33,984
 Breakfast,7,0.14,0.014,0.28,0,0,0.85,14,0,334
  Coffee,7,0.14,0.014,0.28,0,0,0.85,14,0,334
   3 mugs (8 fl oz)
 Lunch,745,38.1,6.43,89.42,8.8,5.92,14.19,904,0,597
  Flour Tortilla,437,10.85,2.64,71.89,4.3,2.69,11.61,890,0,217
   2 large (approx 10" dia)
  Olive Oil,239,27,3.728,0,0,0,0,1,0,0
   2 tbsps
  Publix Red Bell Pepper,45,0,0,12,3,0,1.5,0,0,
"   1 1/2  x 1 medium pepper, 222 g"
  Tomatoes,22,0.25,0.057,4.82,1.5,3.23,1.08,6,0,292
   1 medium whole (2-3/5" dia)
  Tea (Brewed),2,0,0.005,0.71,0,0,0,7,0,88
   1 cup (8 fl oz)
 Dinner,130,9.41,5.526,1.86,0.1,1.08,9.43,331,33,53
  Mozzarella Cheese (Whole Milk),126,9.39,5.524,0.92,0,0.43,9.31,263,33,32
   42 g
  Pickled Hot Pepper,4,0.02,0.002,0.94,0.1,0.65,0.12,68,0,21
   1 serving (8 g)
 Snacks/Other,,,,,,,,,,

Total,44218,1875.67,532.272,5106.13,468.81,611.99,1833.72,69115.33,7871.29,44137.91
