#-------------------------------------------
# Food Diary Report - Detailed Report,"Tuesday, September 1, 2020","Wednesday, September 30, 2020"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
  Great Value Dry Roasted Peanuts,171,13.92,2.14,5.36,2.14,1.07,6.43,182.07,0,192.78
   30 g
  Colby Cheese,138,11.24,7.076,0.9,0,0.18,8.32,211,33,44
   35 g
  Trader Joe's Dried Apricots,130,0,0,32.5,3.9,19.5,1.3,6.5,,
   52 g
  Dried Prune,40,0.06,0.015,10.73,1.2,6.41,0.37,0,0,123
   2 prunes
 Snacks/Other,882,0,0,0.35,0,0,0,4,0,7
  Whiskey,882,0,0,0.35,0,0,0,4,0,7
   12.6 fl oz (no ice)

"Sunday, September 6, 2020",1391,45.95,11.371,190.12,14.84,76.52,61.05,2285.84,98.5,1695.56
 Breakfast,,,,,,,,,,
 Lunch,580,17.35,2.919,69.01,2.34,54.23,38.58,456.84,77,1093.56
  Salmon,248,10.09,2.143,0,0,0,36.78,78,77,720
   6 oz boneless
  Honey,192,0,0,51.91,0.1,51.74,0.19,3,0,33
   3 tbsps
  Del Monte Whole New Potatoes,63,0,0,14.62,1.04,1.04,1.04,375.84,0,250.56
   165 g
  Pompeian White Wine Vinegar,4,0,0,0,0,0,0,0,0,0
"   2 x 1 tbsp, 30 ml"
  Jalapeno Peppers,13,0.26,0.026,2.48,1.2,1.45,0.57,0,0,90
   3 peppers
  Trader Joe's Grapeseed Oil,60,7,0.75,0,,,0,0,0,
"   1/2 x 1 tbsp, 7.5 ml"
 Dinner,642,24.17,8.012,88.16,8.3,2.96,19.17,1000,14,225
  Flour Tortilla,437,10.85,2.64,71.89,4.3,2.69,11.61,890,0,217
   2 large (approx 10" dia)
  Goats Cheese (Soft),80,6.32,4.372,0.27,0,0.27,5.56,110,14,8
   30 g
  Publix Red Bell Pepper,60,0,0,16,4,0,2,0,0,
"   2 x 1 medium pepper, 296 g"
  Lee Kum Kee Chili Oil,65,7,1,0,0,0,0,0,,
"   1/2 x 1 tbsp, 7.5 ml"
 Snacks/Other,169,4.43,0.44,32.95,4.2,19.33,3.3,829,7.5,377
  Crown Prince Flat Anchovies in Olive Oil ,20,1.25,0,0,0,0,2,525,7.5,0
"   1/2 x 6 pieces , 7.5 g"
   Green Olives,28,2.99,0.396,0.75,0.6,0.11,0.2,303,0,8
   1/2 10 large serving
   Dried Prune,121,0.19,0.044,32.2,3.6,19.22,1.1,1,0,369
   6 prunes

"Monday, September 7, 2020",329,0,0,27.16,0,0,3.52,31,0,207
 Breakfast,,,,,,,,,,
 Lunch,329,0,0,27.16,0,0,3.52,31,0,207
   Beer,329,0,0,27.16,0,0,3.52,31,0,207
   25 1/2 fl oz
 Dinner,,,,,,,,,,
 Snacks/Other,,,,,,,,,,

"Tuesday, September 8, 2020",1545,51.13,15.177,217.3,21.2,36.52,52.94,2491,56,1170
 Breakfast,,,,,,,,,,
 Lunch,,,,,,,,,,
 Dinner,942,32.45,4.262,135.05,16.3,3.13,26.91,1860,0,692
  Pita Bread,351,1.53,0.212,71.02,2.8,1.66,11.6,683,0,153
   1 1/2 large (6-1/2" dia)
  Hummus,544,26.41,3.453,61.87,12.3,1.41,14.94,744,0,532
   1 1/4 cups
  Olives,47,4.51,0.597,2.16,1.2,0.06,0.37,433,0,7
   10 medium
 Snacks/Other,603,18.68,10.915,82.25,4.9,33.39,26.03,631,56,478
   Pita Bread,234,1.02,0.141,47.34,1.9,1.1,7.74,456,0,102
   1 large (6-1/2" dia)
   Swiss Cheese ,133,9.73,6.223,1.88,0,0.46,9.43,67,32,27
   35 g
  Whole Milk,146,7.93,4.551,11.03,0,12.83,7.86,98,24,349
   1 cup
  Nature's Original Sun Dried Apricots,90,0,,22,3,19,1,10,0,
"   5 pieces, 40 g"

"Wednesday, September 9, 2020",1256,48.73,18.113,132.62,15.91,12.46,71.62,2167.55,87,732.4
 Breakfast,,,,,,,,,,
 Lunch,486,23.94,14.08,49.62,3.7,1.95,18.8,591,63,373
   Baguette,233,2.55,0.545,44.14,2.6,0.2,7.48,518,0,
   3 oz
   Swiss Cheese ,133,9.73,6.223,1.88,0,0.46,9.43,67,32,27
   35 g
   Butter ,102,11.52,7.294,0.01,0,0.01,0.12,2,31,3
   1 tbsp
   Portabella Mushrooms ,18,0.14,0.018,3.59,1.1,1.28,1.77,4,0,343
   2 1/2 oz
 Dinner,770,24.79,4.033,83,12.21,10.51,52.82,1576.55,24,359.4
   Baguette,233,2.55,0.545,44.14,2.6,0.2,7.48,518,0,
   3 oz
   Mayonnaise ,57,4.91,0.72,3.51,0,0.94,0.13,105,4,1
   1 tbsp
  Huy Fong Foods Sriracha Hot Chili Sauce,15,0,,3,0,3,0,240,0,
"   3 x 1 tsp, 15 g"
   Tuna in Oil (Canned),225,9.31,1.74,0,0,0,33.03,401,20,235
   4 oz
   Fennel Bulb,3,0.03,0.009,0.59,0.3,0.37,0.14,16,0,52
   20 g
   Garbanzo Beans,180,2.99,0.309,29.98,8.6,5.29,9.54,243,0,
   100 g
  Planters Dry Roasted Peanuts,57,5,0.71,1.78,0.71,0.71,2.5,53.55,0,71.4
   10 g
 Snacks/Other,,,,,,,,,,

"Thursday, September 10, 2020",1606,68.46,32.071,129.7,17.6,26.93,114.3,4286,761,1056
 Breakfast,,,,,,,,,,
 Lunch,728,11.33,4.745,123.64,17.6,24.65,33.28,3270,0,570
  Split Pea Soup,495,8.78,4.2,79.5,15,24.45,25.8,2752,0,570
   750 g
   Baguette,233,2.55,0.545,44.14,2.6,0.2,7.48,518,0,
   3 oz
 Dinner,467,32.98,16.204,4.66,0,2.02,36.37,335,694,251
   Swiss Cheese ,247,18.07,11.556,3.5,0,0.86,17.5,125,60,50
   65 g
   Egg,220,14.91,4.648,1.16,0,1.16,18.87,210,634,201
   3 large
 Snacks/Other,411,24.15,11.122,1.4,0,0.26,44.65,681,67,235
   Havarti Cheese,186,14.84,9.382,1.4,0,0.26,11.62,280,47,
   50 g
   Tuna in Oil (Canned),225,9.31,1.74,0,0,0,33.03,401,20,235
   4 oz

"Sunday, September 13, 2020",1400,67.62,17.398,74.96,5.5,17.24,76.76,2672,712,784
 Breakfast,220,14.91,4.648,1.16,0,1.16,18.87,210,634,201
  Egg,220,14.91,4.648,1.16,0,1.16,18.87,210,634,201
   3 large
 Lunch,335,19.31,3.24,4,0,4,33.03,811,30,235
   Tuna in Oil (Canned),225,9.31,1.74,0,0,0,33.03,401,20,235
   4 oz
  Hellmann's Real Mayonnaise,90,10,1.5,0,0,0,0,90,10,
"   1 tbsp, 13 g"
  Huy Fong Foods Sriracha Hot Chili Sauce,20,0,,4,0,4,0,320,0,
"   4 x 1 tsp, 20 g"
 Dinner,845,33.4,9.51,69.8,5.5,12.08,24.86,1651,48,348
   Bread,247,3.06,0.667,47.07,2.2,4.01,7.11,633,0,93
   93 g
   Italian Sausage,289,22.94,8.009,3.59,0.1,0.72,16.06,1014,48,255
   4 oz raw (yield after cooking)
   Bell Peppers,31,0.36,0.07,7.18,2.4,5,1.18,2,0,
"   1 medium (approx 2-3/4"" long, 2-1/2"" dia)"
   Red Onions,23,0.04,0.014,5.56,0.8,2.35,0.51,2,0,
   1/2 medium
  Trader Joe's Grapeseed Oil,60,7,0.75,0,,,0,0,0,
"   1/2 x 1 tbsp, 7.5 ml"
  Alamos Malbec,195,0,,6.4,,,0,,,
   8 oz
 Snacks/Other,,,,,,,,,,

"Monday, September 14, 2020",391,30.2,8.791,10.6,2.6,4.22,18.8,1038,48,862
 Breakfast,386,30.11,8.782,10.41,2.6,4.22,18.23,1029,48,639
  Italian Sausage,289,22.94,8.009,3.59,0.1,0.72,16.06,1014,48,255
   4 oz raw (yield after cooking)
  Trader Joe's Grapeseed Oil,60,7,0.75,0,,,0,0,0,
"   1/2 x 1 tbsp, 7.5 ml"
  Red Onions,15,0.03,0.009,3.54,0.5,1.5,0.32,1,0,50
   1/2 small
  Trader Joe's Shishito Peppers,15,0,0,3,2,2,1,0,0,
"   7 peppers, 45 g"
  Coffee,7,0.14,0.014,0.28,0,0,0.85,14,0,334
   3 mugs (8 fl oz)
 Lunch,5,0.09,0.009,0.19,0,0,0.57,9,0,223
  Coffee,5,0.09,0.009,0.19,0,0,0.57,9,0,223
   2 mugs (8 fl oz)
 Dinner,,,,,,,,,,
 Snacks/Other,,,,,,,,,,

"Tuesday, September 15, 2020",2401,68.21,24.694,141.65,7.6,19.74,88.02,3043,499,1340
 Breakfast,633,26.39,11.082,48.66,2,2.16,49.35,1441,52,598
  Mission Soft Taco Flour Tortillas (Medium),280,7,3,48,2,2,8,840,0,
"   2 x 1 tortilla, 98 g"
  Cheddar Cheese ,121,9.94,6.328,0.38,0,0.16,7.47,186,32,29
   30 g
  Tuna in Oil (Canned),225,9.31,1.74,0,0,0,33.03,401,20,235
   4 oz
  Coffee,7,0.14,0.014,0.28,0,0,0.85,14,0,334
   3 mugs (8 fl oz)
 Lunch,,,,,,,,,,
 Dinner,1462,20.89,7.061,74.96,3.6,3.75,24.81,1304,423,213
  Jameson Irish Whiskey,876,0,0,0,0,0,0,0,0,
   13 oz
  Flour Tortilla,159,3.95,0.962,26.19,1.6,0.98,4.23,324,0,79
   1 medium (approx 8" dia)
  Mission Soft Taco Flour Tortillas (Medium),280,7,3,48,2,2,8,840,0,
"   2 x 1 tortilla, 98 g"
  Egg,147,9.94,3.099,0.77,0,0.77,12.58,140,423,134
   2 large
 Snacks/Other,306,20.93,6.551,18.03,2,13.83,13.86,298,24,529
  Essential Everyday Dry Roasted Peanuts,160,13,2,7,2,1,6,200,0,180
"   1/4 cup, 28 g"
  Whole Milk,146,7.93,4.551,11.03,0,12.83,7.86,98,24,349
   1 cup

"Wednesday, September 16, 2020",1224,56.76,23.389,103.92,4,8.97,74.21,2876,505,420
 Breakfast,577,21.22,5.46,54.51,2,5.94,41.16,1586,24,236
  Mission Soft Taco Flour Tortillas (Medium),280,7,3,48,2,2,8,840,0,
"   2 x 1 tortilla, 98 g"
  Tuna in Oil (Canned),225,9.31,1.74,0,0,0,33.03,401,20,235
   4 oz
  Mayonnaise ,57,4.91,0.72,3.51,0,0.94,0.13,105,4,1
   1 tbsp
  Huy Fong Foods Sriracha Hot Chili Sauce,15,0,,3,0,3,0,240,0,
"   3 x 1 tsp, 15 g"
 Lunch,221,10.13,5.718,24.26,1,1.1,8.98,544,21,20
  Mission Soft Taco Flour Tortillas (Medium),140,3.5,1.5,24,1,1,4,420,0,
"   1 tortilla, 49 g"
  Cheddar Cheese ,81,6.63,4.218,0.26,0,0.1,4.98,124,21,20
   20 g
 Dinner,426,25.41,12.211,25.15,1,1.93,24.07,746,460,164
  Cheddar Cheese,121,9.94,6.328,0.38,0,0.16,7.47,186,32,29
   30 g
  Mission Soft Taco Flour Tortillas (Medium),140,3.5,1.5,24,1,1,4,420,0,
"   1 tortilla, 49 g"
  Butter ,18,2.03,1.284,0,0,0,0.02,0,5,1
"   1/2 pat (1"" sq, 1/3"" high)"
  Egg,147,9.94,3.099,0.77,0,0.77,12.58,140,423,134
   2 large
 Snacks/Other,,,,,,,,,,

"Saturday, September 19, 2020",1159,46.03,15.873,146.95,15.8,10.18,43.06,2988,66,867
 Breakfast,,,,,,,,,,
 Lunch,1142,45.99,15.872,142.57,15.3,6.44,42.82,2987,66,786
  Penne,605,3.56,0.674,118.1,6.9,2.14,22.2,896,0,
   2 3/4 cups cooked
  Butter ,102,11.52,7.294,0.01,0,0.01,0.12,2,31,3
   1 tbsp
  Olive Oil ,179,20.25,2.796,0,0,0,0,0,0,0
   1 1/2 tbsps
  Lemon Juice ,6,0,0,2.03,0.1,0.56,0.09,0,0,29
   1/2 lemon yields
  Cooked Broccoli (Fat Not Added in Cooking),85,0.99,0.192,17.31,8,3.35,5.75,674,0,706
"   2 1/2 cups, flowerets"
